{'fen': '1bk1bn1r/pppp1p2/r2q3p/pp1n4/4B1P1/3NPR2/PPPPPP2/1N1BRQ1K w - - 0 1', 'eval': -33},
{'fen': '1r1qbk1n/ppp1rppb/p2n4/4p1p1/P4PN1/RB1P3B/1PP1NPPP/4KR1Q w - - 0 1', 'eval': 53},
{'fen': '1knr1rb1/1pp1pppq/n4pp1/b5p1/P3P3/2PBN1QB/PP1P2PP/RN1K2R1 w - - 0 1', 'eval': 24},
{'fen': 'k1b1n2r/1pb1pppp/p1rn1p1p/1q6/1B1B2P1/1N1PP3/PPR1PPRP/1K2NQ2 w - - 0 1', 'eval': -46},
{'fen': '1rnnkqb1/prppppp1/7p/1pb5/B5P1/2Q2PN1/PPNPPPP1/R1K2RB1 w - - 0 1', 'eval': -36},
{'fen': '1n1kbq2/rppppppp/p2r1b2/3n4/6P1/N2NRP1B/PPP2PPP/2RQKB2 w - - 0 1', 'eval': -92},
{'fen': 'kb6/pppp1rpp/1n1p1brp/2q1n3/2N1PR2/2N2PP1/PPPQPP1B/1RKB4 w - - 0 1', 'eval': 0},
{'fen': 'q1b1k1n1/ppppnp1p/r1pbr1p1/8/P1R1R3/1BNP3P/P1B1PPPP/K1N1Q3 w - - 0 1', 'eval': 60},
{'fen': '4k2r/rpp1ppnp/qn3bp1/3pb2p/NPQ4B/4P2P/PP1PNPP1/1R1BKR2 w - - 0 1', 'eval': -16},
{'fen': 'bk3nq1/p1ppp1pp/1p1rp1br/3n4/3BPR2/2PP4/BP1PPP1P/NNQ2RK1 w - - 0 1', 'eval': 66},
{'fen': '1qnkrb1b/pppp2p1/1n1r2pp/5p2/P7/PR3P2/1NPPBPPP/1BKR1NQ1 w - - 0 1', 'eval': -33},
{'fen': 'b4n1k/1pppprpb/2np1p2/q2r2p1/1RNPQ1R1/NP2B2P/2PP1PPP/1B1K4 w - - 0 1', 'eval': -11},
{'fen': 'kb2nq2/1ppnpprp/b1p3p1/p5r1/7N/PR1P1B2/BPPPPPP1/2RNK2Q w - - 0 1', 'eval': -58},
{'fen': '5k2/1p1bpppp/r1pn2rq/pp2n1b1/4P2Q/NB2NP1P/BP1PPRPP/3R1K2 w - - 0 1', 'eval': 25},
{'fen': 'k1qnn3/pppppp2/rbp1rb2/1p6/P3R3/2BP1NP1/PP2PP1P/R1B2NKQ w - - 0 1', 'eval': -6},
{'fen': '2bbq1kr/ppp1prpn/1p1n2pp/8/3R1R2/P1P1P3/1PPP1PPB/K1B1NQN1 w - - 0 1', 'eval': 28},
{'fen': '1n3k2/bppp2pp/pr2np1q/br4p1/3RPN2/P3PR2/P1PPBPP1/KN2Q2B w - - 0 1', 'eval': -19},
{'fen': 'nrbn1k1r/p1pbpppp/1p4q1/5p2/NBP5/5NPP/BPPPP1RP/2R3KQ w - - 0 1', 'eval': -2},
{'fen': 'kq1r1r1n/1ppp1ppp/pp1b1n2/3b4/3P4/P2QPB2/NPPPPP1R/1B1N1RK1 w - - 0 1', 'eval': -52},
{'fen': 'k2r1b1b/qpppp1pp/4n1p1/1rp2n2/4P1R1/2PP3R/PP1BPPPB/1N1KNQ2 w - - 0 1', 'eval': 27},
{'fen': '2r1n1rk/ppppp1qp/bn5p/4p1b1/1P5N/2P1P3/1NPPQPPP/R1B2BKR w - - 0 1', 'eval': -33},
{'fen': '1n1qkrr1/2p1pppp/3np2b/4pp1b/P2P1NR1/P1B1R1N1/1PPPQP1P/4B1K1 w - - 0 1', 'eval': 0},
{'fen': '2n2rkb/1ppp1ppp/3qpp2/3n1b1r/NP1P3N/P7/1PPB1PPP/BQK2R1R w - - 0 1', 'eval': 74},
{'fen': 'k2nnb2/p1pppp1p/1p3q2/2r2brp/N2RP3/N1P4P/P2PPP1P/B1R2KQB w - - 0 1', 'eval': -19},
{'fen': '3nbb1k/p1nppqpp/6p1/1r2prp1/1P6/1PP1NB2/PPN1PPRP/R2K1Q1B w - - 0 1', 'eval': 83},
{'fen': '1nnq2rk/p1pppb1p/3bpp2/6rp/3BP1P1/3NP3/1PRPRPPP/1B2KNQ1 w - - 0 1', 'eval': -75},
{'fen': 'r2bbk1n/1ppp1pp1/1p2q2p/2p2rn1/1NR2P2/PPN5/2PPPPRP/B3KB1Q w - - 0 1', 'eval': 0},
{'fen': '1knnr1q1/ppp2ppp/1p1p3b/4rb2/1RBQP1R1/5NPP/P1PP2PP/5KBN w - - 0 1', 'eval': 39},
{'fen': 'nrr2k2/qp1ppppp/n1p3b1/3b3p/N2N3P/3PRPB1/PP2PPP1/R1QBK3 w - - 0 1', 'eval': -2},
{'fen': 'n2rk3/nppppp2/p2r1q1b/4pp1b/3P4/1P2P2B/P1PPRPP1/N1KBQN1R w - - 0 1', 'eval': 19},
{'fen': '2nr1kbn/pqppp1pp/1bp2p2/3r4/1N3R2/3PNPP1/PPP1PRP1/QB2B1K1 w - - 0 1', 'eval': 38},
{'fen': '1knb1n1r/p1pp1ppp/4bq1p/1pr5/5P1R/N1NB1P2/PPBPP1PP/Q2R2K1 w - - 0 1', 'eval': 0},
{'fen': 'q1rn1n1k/ppbpp1pp/b4p2/pr6/1B3P1B/5NP1/PPP1PPRP/N3QR1K w - - 0 1', 'eval': 43},
{'fen': '3n2kn/ppprpppp/2pbr3/1b1q4/1R3P2/1P1P2R1/P2BPPPP/NBKQ2N1 w - - 0 1', 'eval': 0},
{'fen': '1br1n2k/2ppppnp/pq6/rpbp4/P3P3/1RP1B3/PP2P1PP/1KRNQN1B w - - 0 1', 'eval': 38},
{'fen': 'nkr1n1b1/p1ppp2p/rp1b4/2q1p1p1/4QP2/2P3P1/PP1P1PPN/NRK1B1BR w - - 0 1', 'eval': -30},
{'fen': '2b3rk/1prppp1p/nppnbq2/4p3/R2N4/1NR2P1P/1PPPQPPP/4B1BK w - - 0 1', 'eval': -70},
{'fen': 'b1k4r/pnprppp1/1p1qb3/np5p/3P4/RR1BPBNP/PNP1PPP1/4QK2 w - - 0 1', 'eval': -37},
{'fen': '2b1rrqk/ppppppnb/3n1pp1/8/3R3P/N1P4P/PPBP1RPP/N1BK1Q2 w - - 0 1', 'eval': -56},
{'fen': '1nbn2kq/1ppr1ppp/2r2p1b/2pp4/2N5/2P1PB1R/PP2PPPP/NQ3KRB w - - 0 1', 'eval': 61},
{'fen': 'kr1nb1qr/pp1ppbpp/n4p2/7p/P2B3P/1RP2N2/1PBPPPPR/1Q2NK2 w - - 0 1', 'eval': 43},
{'fen': 'krb3n1/ppp1pr1p/pp3p1n/1q4b1/6BP/1P1P4/PBP2PPP/NNQRKR2 w - - 0 1', 'eval': 37},
{'fen': 'b1nkr1q1/n1pppppp/5p2/p2b3r/P7/P2R3P/1PPPRQPP/1B1NK1BN w - - 0 1', 'eval': 23},
{'fen': 'n1kb2qr/pp2pppp/p2rp1n1/b7/P2B1RN1/2P1P3/PPPP1P1B/2Q1K1RN w - - 0 1', 'eval': -113},
{'fen': 'nbk3q1/1ppppp1b/rn2rp1p/4p3/1B6/2P1QPP1/PPPNP2P/BKR2N1R w - - 0 1', 'eval': 5},
{'fen': '2br3k/n1pnpppp/1q1pp1r1/2b2p2/1NB4P/3PP3/PRPB1PPP/2RQ1K1N w - - 0 1', 'eval': 0},
{'fen': '3rnbk1/p1pppppp/1b1p3q/2r3n1/2PR4/PB1P2NN/1RPPPBPP/3K2Q1 w - - 0 1', 'eval': -94},
{'fen': '1kqbb3/ppprpppp/1p3r2/3n2n1/P3R2R/1Q1P2NP/1P1PPPP1/BN1KB3 w - - 0 1', 'eval': -74},
